"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"78","Portuguese",-0.212098532468038,-0.915277409812172,6.55252489656208e-251,-0.1452478151697,-0.193780917052353,2.8923123886716e-61,0.269942974220619,0.35650995451495,0.615583952793317,0.757182151022656,0.749546536259087,0.231731418468597,"medianDuration"
"79","Romanian",-0.228600908080573,-0.772819337777427,1.89678180130254e-127,-0.172486769674516,-0.249521599889676,3.28647448609155e-43,0.266854659874138,0.360779142942763,0.571083113661033,0.739662103794272,0.691269893070499,0.295801226633397,"medianDuration"
"80","Romansh",-0.258192761147121,-0.77679263752843,5.10054673348895e-247,-0.170905808528634,-0.223273239258227,6.6924992237804e-64,0.332461418356264,0.408394053222303,0.656207019691868,0.814070174952557,0.765455856225441,0.332383120891348,"medianDuration"
"81","Russian",-0.14617366016095,-0.943140226719962,8.1255424276266e-301,-0.102992965905837,-0.172268211380658,1.02545228342783e-74,0.298201467793394,0.418353413214524,0.596985840042605,0.71279797982784,0.597864023085809,0.154986136758593,"medianDuration"
"82","Slovenian",-0.249909359972743,-0.847616844451729,3.06791709983249e-146,-0.172098752145565,-0.240698533951763,4.07108231848876e-40,0.36410215135217,0.439840542383153,0.629848181514848,0.827804888970409,0.714997093335246,0.29483765171561,"medianDuration"
"83","Spanish",-0.134862275404676,-0.911697259730008,0,-0.0492497592242905,-0.0770951912753387,7.4284100082682e-41,0.206093471848717,0.355829345763775,0.620664731475726,0.579191891569103,0.638817524278516,0.147924405788622,"medianDuration"
"84","Swedish",-0.2916890177479,-0.895804892243514,2.93436918898528e-159,-0.177944088767112,-0.21402348871657,3.39849433366407e-32,0.219561012610221,0.27098906482096,0.524632914234396,0.810220931812443,0.831423176185873,0.325616683134398,"medianDuration"
"85","Tamil",-0.303688061824052,-0.86361508029608,4.21289722362459e-57,-0.209939780407375,-0.357016845368382,4.16254940114795e-16,0.464275725593668,0.549207124010554,0.670439344262295,0.845356342436566,0.588038864638872,0.351647474381684,"medianDuration"
"86","Tatar",-0.254093322986959,-0.876694839499786,0,-0.165997587453084,-0.262304729487645,3.13447708897439e-136,0.304906914710776,0.384455375434833,0.521567247792767,0.793087921754025,0.632842525475329,0.289830978281948,"medianDuration"
"87","Turkish",-0.205920976145928,-0.888562214802515,1.9614456020709e-157,-0.157345547765125,-0.264755987526169,1.14246387107246e-49,0.319632193494579,0.41110897970531,0.545113319191694,0.77748774479141,0.594304020223802,0.231746266851662,"medianDuration"
"88","Ukrainian",-0.174589705976371,-0.857116873335288,6.0270663504188e-176,-0.164228029871822,-0.228781967944097,2.90174077055493e-86,0.365744354625405,0.428719252132513,0.588930134037086,0.853109238286217,0.717836424555764,0.203694165180755,"medianDuration"
"89","Vietnamese",-0.0609186488852665,-0.780399707207976,0.0278257485791687,-0.125149602761448,-0.41819979486793,0.00533520026393351,0.217623076923077,0.300838461538462,0.336376306620209,0.723388478355366,0.299257924793988,0.0780608300113467,"medianDuration"
"90","Welsh",-0.19666999039064,-0.926787459610606,1.63422477623834e-193,-0.150931760177082,-0.208815952868587,2.46936978004041e-58,0.221555088655236,0.320267272013081,0.577657120473538,0.691781858516553,0.722798033884253,0.212206141064179,"medianDuration"
"91","Western Frisian",-0.30839402411508,-0.800324301986765,0,-0.149983820812037,-0.183073428068811,1.57675800756025e-42,0.258011785765204,0.321684065455352,0.610288632854258,0.802065795208045,0.819254997266249,0.385336323474755,"medianDuration"
"92","Yakut",-0.253230527909927,-0.723775903558576,5.91484436446201e-189,-0.179472261597343,-0.324045949099388,5.03284619998373e-58,0.346644878262777,0.431675806097829,0.537232309414252,0.803021326111148,0.553848187567675,0.349874217509692,"medianDuration"
"93","Abkhazian",-0.215168212597831,-0.515847540379937,0.00210297171918882,-0.199029982492303,-0.406039998367034,0.0292367677593619,0.6896860670194,0.754338624338624,0.816498888888889,0.914292394379369,0.49017334078598,0.41711590296496,"meanDuration"
"94","Arabic",-0.09645427122017,-0.879317271351976,4.6381494358238e-30,-0.126821156717908,-0.272374037886761,1.76550111833187e-27,0.358869367116662,0.482209998382139,0.589677479628755,0.744218013564015,0.465613968577408,0.109692228689957,"meanDuration"
"95","Assamese",-0.180809176745719,-0.666272090168426,3.54090648008419e-14,-0.161542677486249,-0.37143969360283,1.45878227897517e-07,0.373914607765825,0.451715,0.511592381315456,0.827766639951795,0.434909570162907,0.27137438204865,"meanDuration"
"96","Basque",-0.193008093632119,-0.930715152224984,0,-0.117837022104616,-0.197744189266633,1.08424562836284e-76,0.332388640493172,0.452791315723139,0.630346010832798,0.734087931793313,0.59590637045586,0.207376116280809,"meanDuration"
"97","Breton",-0.229537081402812,-0.875320093252705,9.09100909523608e-94,-0.191900617495525,-0.283574478918312,3.27638332081238e-36,0.223635287389969,0.319062426934767,0.518819770197791,0.700913891799901,0.676720338965361,0.262232163036322,"meanDuration"
"98","Catalan",-0.20367998714687,-0.938988345519117,0,-0.0622761901926397,-0.0856561409963752,1.18437306094427e-67,0.246775726569076,0.365090620566483,0.680241020285342,0.675930064119898,0.727048749432631,0.216914286656313,"meanDuration"
"99","Chuvash",-0.23340744527428,-0.816401837218234,7.24912153381604e-117,-0.204603573819728,-0.382487048407747,1.59988959042479e-52,0.379715313954336,0.461744929317763,0.5560963158155,0.822348638490461,0.534929417012866,0.285897746224557,"meanDuration"
"100","Czech",-0.200242719414622,-0.914300104176692,1.08341125991705e-272,-0.139340852402824,-0.193415525729253,4.82978546220248e-69,0.312463476442837,0.385502554686253,0.573711318513957,0.810535423551579,0.72042227157026,0.219012027341872,"meanDuration"
"101","Dhivehi",-0.0911588638737804,-0.802135278100364,0.132682376952317,-0.163731778575528,-0.250189434716398,0.0626703091129364,0.187917345130042,0.40157060518732,0.806182872383652,0.467955927805983,0.65443122632707,0.113645249576437,"meanDuration"
"102","Dutch",-0.26315899339377,-0.949472501978424,0,-0.117875849275189,-0.154093086313055,1.81034324523454e-33,0.231492504941678,0.309953425630545,0.565319334726363,0.746862224447909,0.764965204446049,0.277163364758246,"meanDuration"
"103","English",-0.149430055710091,-0.82640536510158,0,-0.0391191493486496,-0.0566611578738725,1.53867775581294e-58,0.196869791132622,0.34451338703475,0.673762564525594,0.571443080418713,0.690405046711694,0.18081931945314,"meanDuration"
"104","Esperanto",-0.17323411516137,-0.913508946779047,0,-0.0863782770684187,-0.127208596898027,2.39799976097144e-46,0.353923407626512,0.502332485094351,0.81629819651867,0.704560063560364,0.679028612646842,0.189635926141915,"meanDuration"
"105","Estonian",-0.21254741607198,-0.815398030083891,0,-0.0882901946478202,-0.128187834660576,4.03380361702507e-52,0.324832859352586,0.404168206949433,0.579730803622787,0.803707104535383,0.6887564243643,0.260667070841602,"meanDuration"
"106","French",-0.19422949392525,-0.852929043923498,0,-0.0432915674838603,-0.0641646453009679,4.0739780956926e-67,0.191805409307943,0.336298486774885,0.635982695731549,0.570342766473213,0.674695033079335,0.227720576886195,"meanDuration"
"107","Georgian",-0.131535555257113,-0.648287427905095,1.37821848987122e-49,-0.110776376985672,-0.232358621613353,2.02067899467077e-22,0.447816451494241,0.530818422582521,0.60644342578908,0.843633966800811,0.476747435565379,0.202896970688084,"meanDuration"
"108","German",-0.193803092649113,-0.868805344721571,0,-0.052603087447834,-0.0729007124972155,2.90058183368118e-91,0.24392193391681,0.38974775530366,0.767668246784926,0.625845641437409,0.721571650617862,0.223068485739141,"meanDuration"
"109","Hakha Chin",-0.231179229463834,-0.832247283821248,5.40502584748938e-54,-0.134218776581808,-0.201388881183152,4.18875203188239e-11,0.225566302150522,0.298824553521285,0.445208617263082,0.754845274568295,0.666465674734761,0.277777090965534,"meanDuration"
"110","Indonesian",-0.190694143888658,-0.911710025573434,6.17040574678813e-60,-0.159986785758125,-0.292940664849009,1.45600186355637e-22,0.278986514106147,0.393051921688921,0.530309729058977,0.709795573336364,0.5461405839322,0.209160959668858,"meanDuration"
"111","Interlingua",-0.217647558376575,-0.780483575917859,6.76480218906855e-101,-0.163445275454962,-0.216475547466215,1.13641499979329e-33,0.334203704068761,0.42199439989818,0.69257521945681,0.791962415021144,0.755028812113155,0.278862445145779,"meanDuration"
"112","Irish",-0.219301274094063,-0.923307443471616,6.42988997782832e-49,-0.186101939553275,-0.270310962015351,8.42368099777389e-19,0.231913966954381,0.306280603050415,0.470630868745014,0.757194431004195,0.688473520147905,0.23751706503036,"meanDuration"
"113","Italian",-0.174918734042094,-0.896679347953078,0,-0.0828157272325747,-0.120176388799316,1.05989512942658e-83,0.268088838914461,0.388046773089968,0.653952223889201,0.690867332254056,0.689118120955272,0.195073896194214,"meanDuration"
"114","Kinyarwanda",-0.180263269310697,-0.89047100969895,0,-0.0565749950986084,-0.0956538261999163,5.35029760434852e-95,0.275704831828194,0.460739882716944,0.72861783100981,0.598395845834716,0.591455641098629,0.202435865230066,"meanDuration"
"115","Kirghiz",-0.177597692201849,-0.88462948356731,7.99559361129549e-137,-0.149160254828066,-0.273220145962567,3.57502196724838e-52,0.350501161889619,0.45197999585241,0.573990490905435,0.775479368790631,0.545934320848002,0.200759408883454,"meanDuration"
"116","Latvian",-0.217014210372301,-0.728662256224231,1.61551925792299e-135,-0.181860621196438,-0.243376809905513,9.84121995882292e-58,0.335620461812439,0.401167072929705,0.594942852366917,0.836610191762294,0.747238906069329,0.297825513149016,"meanDuration"
